City;Location;Time;CO;NO2;NOX;SO2;O3;PM10 Teom;PM2.5 Teom
Copenhagen;HC Andersens Boulevard;17-03-2022 12:00;;42,14;84,04;0,68;38,14;76,6;26,55
Copenhagen;HC Andersens Boulevard;17-03-2022 11:00;;37,15;71,4;0,77;45,23;71,3;28,05
Copenhagen;HC Andersens Boulevard;17-03-2022 10:00;;40,43;67,71;1,46;49,44;54,5;24,55
Copenhagen;HC Andersens Boulevard;17-03-2022 09:00;;39,7;71,27;0,79;55,69;33,2;18,2
Copenhagen;HC Andersens Boulevard;17-03-2022 08:00;;38,52;75,3;0,81;45,48;21,9;13,8
Copenhagen;HC Andersens Boulevard;17-03-2022 07:00;;37,59;71,17;1,08;43,13;16,85;13,1
Copenhagen;HC Andersens Boulevard;17-03-2022 06:00;;46,05;83,14;0,64;42,87;14,8;10,85
Copenhagen;HC Andersens Boulevard;17-03-2022 05:00;;15,14;23,95;;68,11;12,8;8,45
Copenhagen;HC Andersens Boulevard;17-03-2022 04:00;;7,47;9,77;;71,03;7,6;5,2
Copenhagen;HC Andersens Boulevard;17-03-2022 03:00;;9,13;10,32;;62,76;6;3,45
Copenhagen;HC Andersens Boulevard;17-03-2022 02:00;;12,1;14,23;;57,6;14,7;12,5
Copenhagen;HC Andersens Boulevard;17-03-2022 01:00;;11,39;12,87;;60,09;20,85;17,45
Copenhagen;HC Andersens Boulevard;17-03-2022 00:00;;14,56;18,07;;59,42;23,9;17
Copenhagen;HC Andersens Boulevard;16-03-2022 23:00;;18,73;24,08;;51,89;29,1;20,7
Copenhagen;HC Andersens Boulevard;16-03-2022 22:00;;22,59;34,26;;56;36,35;20,65
Copenhagen;HC Andersens Boulevard;16-03-2022 21:00;;25,42;38,78;;55,81;37,45;22,05
Copenhagen;HC Andersens Boulevard;16-03-2022 20:00;;32,74;50,8;;57,35;39,3;18,15
Copenhagen;HC Andersens Boulevard;16-03-2022 19:00;;30,05;45,75;;62,02;33,75;18,05
Copenhagen;HC Andersens Boulevard;16-03-2022 18:00;;25,19;42,54;;61,2;29,3;15,15
Copenhagen;HC Andersens Boulevard;16-03-2022 17:00;;40,1;73,86;;47,23;39,8;15,85
Copenhagen;HC Andersens Boulevard;16-03-2022 16:00;;34,12;65,76;;47,11;31,6;11,7
Copenhagen;HC Andersens Boulevard;16-03-2022 15:00;;37,72;82,34;;42,3;41,2;14,15
Copenhagen;HC Andersens Boulevard;16-03-2022 14:00;;37,98;85,61;;42,12;63,5;14,75
Copenhagen;HC Andersens Boulevard;16-03-2022 13:00;;39,45;98,66;;43,93;81;14,6
Copenhagen;HC Andersens Boulevard;16-03-2022 12:00;;36,73;111,62;;42,13;90;11,3
Copenhagen;HC Andersens Boulevard;16-03-2022 11:00;;51,63;127,63;;31,81;99,85;31,85
Copenhagen;HC Andersens Boulevard;16-03-2022 10:00;;55,87;131,49;;29,67;109,7;22,1
Copenhagen;HC Andersens Boulevard;16-03-2022 09:00;;52,72;123,35;;32,26;51,4;11,45
Copenhagen;HC Andersens Boulevard;16-03-2022 08:00;;53,94;118,6;;32,12;10,25;4,15
Copenhagen;HC Andersens Boulevard;16-03-2022 07:00;;50,64;117,27;;25,01;7,05;2,75
Copenhagen;HC Andersens Boulevard;16-03-2022 06:00;;58,97;144,76;0,02;25,76;13;6,4
Copenhagen;HC Andersens Boulevard;16-03-2022 05:00;;28,42;52,38;;43,71;7,5;4,65
