Countrycode;Namespace;AirQualityNetwork;AirQualityStation;AirQualityStationEoICode;SamplingPoint;SamplingProcess;Sample;AirPollutant;AirPollutantCode;AveragingTime;Concentration;UnitOfMeasurement;DatetimeBegin;DatetimeEnd;Validity;Verification;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0706897000;mg/m3;2022-03-15 10:00:00 +01:00;2022-03-15 11:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0957855000;mg/m3;2022-03-15 11:00:00 +01:00;2022-03-15 12:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0764368000;mg/m3;2022-03-15 12:00:00 +01:00;2022-03-15 13:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0873563000;mg/m3;2022-03-15 13:00:00 +01:00;2022-03-15 14:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.1078540000;mg/m3;2022-03-15 14:00:00 +01:00;2022-03-15 15:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.1249040000;mg/m3;2022-03-15 15:00:00 +01:00;2022-03-15 16:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.2526820000;mg/m3;2022-03-15 16:00:00 +01:00;2022-03-15 17:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.2482760000;mg/m3;2022-03-15 17:00:00 +01:00;2022-03-15 18:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.1206900000;mg/m3;2022-03-15 18:00:00 +01:00;2022-03-15 19:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.1358240000;mg/m3;2022-03-15 19:00:00 +01:00;2022-03-15 20:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0863985000;mg/m3;2022-03-15 20:00:00 +01:00;2022-03-15 21:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0522988000;mg/m3;2022-03-15 21:00:00 +01:00;2022-03-15 22:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0526820000;mg/m3;2022-03-15 22:00:00 +01:00;2022-03-15 23:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.1293100000;mg/m3;2022-03-15 23:00:00 +01:00;2022-03-16 00:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0526820000;mg/m3;2022-03-16 00:00:00 +01:00;2022-03-16 01:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0653256000;mg/m3;2022-03-16 01:00:00 +01:00;2022-03-16 02:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0189655000;mg/m3;2022-03-16 02:00:00 +01:00;2022-03-16 03:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0344828000;mg/m3;2022-03-16 03:00:00 +01:00;2022-03-16 04:00:00 +01:00;1;3;;;;;;;
