Datum;Tid (UTC);Station;Latitud (decimalgrader);Longitud (decimalgrader);Lufttemperatur (degrees celsius);Weather;Rain (mm);;
2022-03-15;12:00:00;Såtenäs;58.4280;12.7110;4.6;100;0.0;;
2022-03-15;13:00:00;Såtenäs;58.4281;12.7111;4.7;100;0.0;;
2022-03-15;14:00:00;Såtenäs;58.4282;12.7112;5.8;100;0.0;;
2022-03-15;15:00:00;Såtenäs;58.4283;12.7113;5.3;100;0.0;;
2022-03-15;16:00:00;Såtenäs;58.4284;12.7114;3.4;100;0.0;;
2022-03-15;17:00:00;Såtenäs;58.4285;12.7115;2.6;100;0.0;;
2022-03-15;18:00:00;Såtenäs;58.4286;12.7116;2.5;100;0.0;;
2022-03-15;19:00:00;Såtenäs;58.4287;12.7117;1.2;100;0.0;;
2022-03-15;20:00:00;Såtenäs;58.4288;12.7118;1.2;100;0.0;;
2022-03-15;21:00:00;Såtenäs;58.4289;12.7119;1.0;100;0.0;;
2022-03-15;22:00:00;Såtenäs;58.4290;12.7120;0.8;100;0.0;;
2022-03-15;23:00:00;Såtenäs;58.4291;12.7121;-1.7;100;0.0;;
2022-03-16;00:00:00;Såtenäs;58.4292;12.7122;0.4;134;0.0;;
2022-03-16;01:00:00;Såtenäs;58.4293;12.7123;0.1;133;0.0;;
2022-03-16;02:00:00;Såtenäs;58.4294;12.7124;0.5;133;0.0;;
2022-03-16;03:00:00;Såtenäs;58.4295;12.7125;1.3;130;0.0;;
2022-03-16;04:00:00;Såtenäs;58.4296;12.7126;1.1;133;0.0;;
2022-03-16;05:00:00;Såtenäs;58.4297;12.7127;1.1;134;0.0;;
2022-03-16;06:00:00;Såtenäs;58.4298;12.7128;1.3;45;0.0;;
2022-03-16;07:00:00;Såtenäs;58.4299;12.7129;1.6;43;0.0;;
2022-03-16;08:00:00;Såtenäs;58.4300;12.7130;2.1;28;0.0;;
2022-03-16;09:00:00;Såtenäs;58.4301;12.7131;2.8;10;0.0;;
2022-03-16;10:00:00;Såtenäs;58.4302;12.7132;4.1;;0.0;;
2022-03-16;11:00:00;Såtenäs;58.4303;12.7133;4.6;;0.0;;
2022-03-16;12:00:00;Såtenäs;58.4304;12.7134;5.1;;0.0;;
2022-03-15;12:00:00;Stockholm-Observatoriekullen A;59.3417;18.0549;9.6;;;;
2022-03-15;13:00:00;Stockholm-Observatoriekullen A;59.3418;18.0550;8.0;;;;
2022-03-15;14:00:00;Stockholm-Observatoriekullen A;59.3419;18.0551;7.7;;;;
2022-03-15;15:00:00;Stockholm-Observatoriekullen A;59.3420;18.0552;7.2;;;;
2022-03-15;16:00:00;Stockholm-Observatoriekullen A;59.3421;18.0553;5.4;;;;
2022-03-15;17:00:00;Stockholm-Observatoriekullen A;59.3422;18.0554;4.1;;;;
2022-03-15;18:00:00;Stockholm-Observatoriekullen A;59.3423;18.0555;2.8;;;;
2022-03-15;19:00:00;Stockholm-Observatoriekullen A;59.3424;18.0556;1.7;;;;
2022-03-15;20:00:00;Stockholm-Observatoriekullen A;59.3425;18.0557;1.4;;;;
2022-03-15;21:00:00;Stockholm-Observatoriekullen A;59.3426;18.0558;1.2;;;;
2022-03-15;22:00:00;Stockholm-Observatoriekullen A;59.3427;18.0559;0.9;;;;
2022-03-15;23:00:00;Stockholm-Observatoriekullen A;59.3428;18.0560;0.9;;;;
2022-03-16;00:00:00;Stockholm-Observatoriekullen A;59.3429;18.0561;1.1;;;;
2022-03-16;01:00:00;Stockholm-Observatoriekullen A;59.3430;18.0562;1.2;;;;
2022-03-16;02:00:00;Stockholm-Observatoriekullen A;59.3431;18.0563;1.4;;;;
2022-03-16;03:00:00;Stockholm-Observatoriekullen A;59.3432;18.0564;0.4;;;;
2022-03-16;04:00:00;Stockholm-Observatoriekullen A;59.3433;18.0565;0.3;;;;
2022-03-16;05:00:00;Stockholm-Observatoriekullen A;59.3434;18.0566;0.0;;;;
2022-03-16;06:00:00;Stockholm-Observatoriekullen A;59.3435;18.0567;0.9;;;;
2022-03-16;07:00:00;Stockholm-Observatoriekullen A;59.3436;18.0568;3.0;;;;
2022-03-16;08:00:00;Stockholm-Observatoriekullen A;59.3437;18.0569;4.8;;;;
2022-03-15;06:00:00;Kristianstad;56.0133;14.2896;-1.2;;;;
2022-03-15;18:00:00;Kristianstad;56.0134;14.2897;5.3;;;;
2022-03-16;06:00:00;Kristianstad;56.0135;14.2898;1.7;;;;
2022-03-15;12:00:00;Stockholm-Bromma Flygplats;59.3537;17.9513;8.9;100;;;
2022-03-15;13:00:00;Stockholm-Bromma Flygplats;59.3538;17.9514;9.0;100;;;
2022-03-15;14:00:00;Stockholm-Bromma Flygplats;59.3539;17.9515;8.7;100;;;
2022-03-15;15:00:00;Stockholm-Bromma Flygplats;59.3540;17.9516;8.0;100;;;
2022-03-15;16:00:00;Stockholm-Bromma Flygplats;59.3541;17.9517;6.5;100;;;
2022-03-15;17:00:00;Stockholm-Bromma Flygplats;59.3542;17.9518;4.6;100;;;
2022-03-15;18:00:00;Stockholm-Bromma Flygplats;59.3543;17.9519;2.9;100;;;
2022-03-15;19:00:00;Stockholm-Bromma Flygplats;59.3544;17.9520;1.6;100;;;
